2026-03-20 01:30:36,640 | INFO | binance_quant.ml.modeling | Finished model=xgboost calibration=isotonic folds=2 precision=0.661 expectancy=0.01317 trades=206
2026-03-20 01:30:36,796 | INFO | binance_quant.orchestration.research_loop | Research progress stage=completed details={'status': 'needs_iteration', 'trade_count': 25.0, 'portfolio_expectancy': 0.02207152576405729}
2026-03-20 01:31:36,832 | INFO | binance_quant.orchestration.research_loop | Research progress stage=starting details={'hypothesis': 'Continuous loop iteration 125: stricter_costs'}
2026-03-20 01:31:36,837 | INFO | binance_quant.orchestration.research_loop | Research progress stage=parity_passed details={'parity_checks': 1}
2026-03-20 01:31:37,223 | INFO | binance_quant.exchange.universe | Universe discovery found 8 eligible symbols
2026-03-20 01:31:37,239 | INFO | binance_quant.orchestration.research_loop | Research progress stage=universe_ready details={'symbol_count': 8, 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'PAXGUSDT', 'ZECUSDT', 'DOGEUSDT']}
2026-03-20 01:31:37,343 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 1, 'total_symbols': 8, 'current_symbol': 'BTCUSDT'}
2026-03-20 01:31:37,444 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 2, 'total_symbols': 8, 'current_symbol': 'ETHUSDT'}
2026-03-20 01:31:37,543 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 3, 'total_symbols': 8, 'current_symbol': 'SOLUSDT'}
2026-03-20 01:31:37,646 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 4, 'total_symbols': 8, 'current_symbol': 'XRPUSDT'}
2026-03-20 01:31:37,746 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 5, 'total_symbols': 8, 'current_symbol': 'HYPEUSDT'}
2026-03-20 01:31:37,845 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 6, 'total_symbols': 8, 'current_symbol': 'PAXGUSDT'}
2026-03-20 01:31:37,938 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 7, 'total_symbols': 8, 'current_symbol': 'ZECUSDT'}
2026-03-20 01:31:38,046 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 8, 'total_symbols': 8, 'current_symbol': 'DOGEUSDT'}
2026-03-20 01:31:38,047 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_started details={'template_count': 5}
2026-03-20 01:57:34,963 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 1, 'total_templates': 5, 'family': 'trend_ema', 'family_variant_count': 81, 'survivors_so_far': 6}
2026-03-20 02:00:08,676 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 2, 'total_templates': 5, 'family': 'trend_pullback', 'family_variant_count': 8, 'survivors_so_far': 6}
2026-03-20 02:08:48,541 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 3, 'total_templates': 5, 'family': 'breakout', 'family_variant_count': 27, 'survivors_so_far': 6}
2026-03-20 02:11:22,963 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 4, 'total_templates': 5, 'family': 'vol_squeeze', 'family_variant_count': 8, 'survivors_so_far': 6}
2026-03-20 02:13:57,580 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 5, 'total_templates': 5, 'family': 'mean_reversion', 'family_variant_count': 8, 'survivors_so_far': 6}
2026-03-20 02:13:58,012 | INFO | binance_quant.orchestration.research_loop | Research progress stage=event_dataset_ready details={'event_count': 1121, 'survivor_count': 6}
2026-03-20 02:13:58,062 | INFO | binance_quant.orchestration.research_loop | Research progress stage=model_evaluation_started details={'feature_count': 40, 'event_count': 1121}
2026-03-20 02:13:58,063 | INFO | binance_quant.ml.modeling | Evaluating model=logistic_regression calibration=platt across 2 folds
2026-03-20 02:13:58,082 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=logistic_regression calibration=platt threshold=0.450 acceptance=0.208 precision=0.657 expectancy=0.00554 trades=35
2026-03-20 02:13:58,102 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=logistic_regression calibration=platt threshold=0.450 acceptance=0.208 precision=0.686 expectancy=0.00556 trades=35
